0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,idx
0.0,1.2200143,1.0718602,0.0,1.077155,0.016680554,0.0,0.22018926,0.0,0.0,0.11206672,0.0,0.41283807,0.31004116,0.9039092,0.6397907,0
0.0,0.44940808,0.13296255,0.0,1.1503657,0.022519546,0.0,0.0,0.0,0.0,0.0,0.0,0.50277126,0.5799719,0.14128388,0.73364127,1
0.0,0.39859772,0.014357826,0.0,1.1520327,0.020231571,0.0,0.0,0.0,0.0,0.0,0.0,0.4995641,0.58572906,0.029163897,0.7572451,2
0.0,1.4777149,1.403426,0.0,1.0912269,0.0138426535,0.0,0.3854107,0.0,0.0,0.21098965,0.0,0.40664175,0.26300976,1.1610537,0.6587009,3
0.0,0.4005058,0.029396415,0.0,1.0951542,0.025009012,0.0,0.0,0.0,0.0,0.0,0.0,0.49206126,0.56745625,0.047147132,0.72052187,4
0.0,0.7717668,0.6034331,0.0,1.1946887,0.037572924,0.0,0.109381355,0.0,0.0,0.06219426,0.0,0.5242464,0.5974122,0.5096884,0.7889298,5
0.0,0.9341972,0.6675456,0.0,1.0676312,0.016438155,0.0,0.058069628,0.0,0.0,0.023610152,0.0,0.41118586,0.35193896,0.5875896,0.6208956,6
0.0,1.0323967,0.8637272,0.0,1.0879555,0.017184643,0.0,0.23015925,0.0,0.0,0.12317119,0.0,0.44625196,0.3899919,0.72236663,0.67896765,7
0.0,0.1796788,0.0,0.0,1.1816322,0.035791177,0.0,0.0,0.0,0.0,0.0,0.0,0.60278773,0.7961607,0.0,0.8323984,8
0.0,1.2900705,1.1682447,0.0,1.07232,0.016680554,0.0,0.30370173,0.0,0.0,0.1656086,0.0,0.41633385,0.31209582,0.9792258,0.6587824,9
0.0,1.1747483,0.95911455,0.0,1.1048061,0.015471204,0.0,0.16796467,0.0,0.0,0.08640634,0.0,0.40078092,0.2987753,0.8282943,0.6276717,10
0.0,1.2989628,1.1313906,0.0,1.1285354,0.013150516,0.0,0.25799054,0.0,0.0,0.14162332,0.0,0.41762123,0.31633538,0.9393242,0.6868343,11
0.0,1.1857978,1.070011,0.0,1.131997,0.02484454,0.0,0.3487188,0.0,0.0,0.19516324,0.0,0.45709696,0.40407115,0.8855295,0.72057825,12
0.0,0.23042081,0.012593591,0.0,1.1968999,0.043763377,0.0,0.0,0.0,0.0,0.0,0.0,0.59514976,0.7911614,0.020136923,0.83624065,13
0.0,1.4582855,1.3738036,0.0,1.0944515,0.0138426535,0.0,0.32842883,0.0,0.0,0.1777884,0.0,0.406622,0.26977417,1.1387173,0.6578746,14
0.0,1.1838368,1.0689806,0.0,1.1293381,0.023910044,0.0,0.3481723,0.0,0.0,0.19459029,0.0,0.46028787,0.40917805,0.8830906,0.7240416,15
0.0,0.21424545,0.0,0.0,1.1038918,0.026962183,0.0,0.0,0.0,0.0,0.0,0.0,0.56299555,0.71002895,0.009205236,0.7580915,16
0.0,1.1797534,0.9937897,0.0,1.1072202,0.016680554,0.0,0.1937541,0.0,0.0,0.09983155,0.0,0.41702104,0.3274901,0.8407069,0.66191685,17
0.0,0.41168162,0.051875148,0.0,1.1525692,0.021813026,0.0,0.0,0.0,0.0,0.0,0.0,0.49675295,0.58050627,0.05969147,0.7518271,18
0.0,1.1677991,1.0192051,0.0,1.0814754,0.017400146,0.0,0.27686146,0.0,0.0,0.15051618,0.0,0.4323051,0.35174635,0.8537218,0.67415875,19
0.0,0.6516631,0.4205096,0.0,1.1053518,0.03150771,0.0,0.027720459,0.0,0.0,0.006206876,0.0,0.48491415,0.52735656,0.3692988,0.70686114,20
0.0,1.1726166,0.99106735,0.0,1.0988158,0.016680554,0.0,0.2680027,0.0,0.0,0.1431646,0.0,0.42807287,0.34449548,0.83098334,0.67694956,21
0.0,1.5938228,1.535456,0.0,1.0923471,0.011435238,0.0,0.43260354,0.0,0.0,0.23926042,0.0,0.3936508,0.2236093,1.2739763,0.64765465,22
0.0,1.9286757,2.0017614,0.0,1.0877433,0.009741124,0.0,0.6820248,0.0,0.0,0.38396195,0.0,0.3988516,0.19276227,1.6318107,0.6831058,23
0.0,1.174325,0.99668056,0.0,1.0967333,0.016680554,0.0,0.2707756,0.0,0.0,0.14490727,0.0,0.42852837,0.34428543,0.83514977,0.6761151,24
0.0,0.16651756,0.0,0.0,1.1249541,0.04386242,0.0,0.0,0.0,0.0,0.0,0.0,0.5920752,0.78665996,0.0,0.80120564,25
0.0,1.603355,1.5641856,0.0,1.0840826,0.011435238,0.0,0.452123,0.0,0.0,0.25112462,0.0,0.39848042,0.23151176,1.2889371,0.65465087,26
0.0,1.2028542,1.0247132,0.0,1.0949891,0.016680554,0.0,0.27354744,0.0,0.0,0.14666769,0.0,0.4248195,0.33396333,0.8621346,0.67239404,27
